year,avgHigh
1948,58.80601093
1949,61.80547945
1950,58.98356164
1951,60.31780822
1952,60.5273224
1953,61.69315068
1954,59.58356164
1955,59.15616438
1956,58.34972678
1957,60.90410959
1958,57.07123288
1959,60.06027397
1960,58.92622951
1961,58.8
1962,57.77747253
1963,59.12328767
1964,59.80601093
1965,59.42191781
1966,59.39452055
1967,58.21643836
1968,58.98360656
1969,59.28219178
1970,58.50136986
1971,60.11232877
1972,58.69672131
1973,61.72876712
1974,59.85479452
1975,60.06575342
1976,59.19945355
1977,60.2109589
1978,57.70684932
1979,59.4109589
1980,59.74863388
1981,60.48493151
1982,59.67945205
1983,61.62465753
1984,60.03551913
1985,60.24657534
1986,59.9260274
1987,60.13424658
1988,60.20218579
1989,59.46849315
1990,62.50684932
1991,63.13424658
1992,59.71311475
1993,60.92328767
1994,60.60547945
1995,60.99726027
1996,58.69146006
1997,59.76986301
1998,62.17808219
1999,62.49315068
2000,59.44535519
2001,61.44931507
2002,61.89589041
2003,58.95890411
2004,59.37978142
2005,60.43287671
2006,62.31780822
2007,61.36164384
2008,61.29234973
2009,59.09315068
2010,62.46575342
2011,61.62465753
2012,62.79781421
2013,60.96164384
2014,60.17534247
2015,61.42739726
2016,63.04371585
2017,61.68767123
2018,61.50958904
2019,60.69589041
2020,63.19672131
2021,62.85479452
2022,63.03013699
2023,61.85753425